Features,Coefficients,Scaled,Normalized,Scaled & Normalized,Position
views_count,0.038799469117713536,0.437757106251219,0.012098724771760924,-32215800673578.172,1
buckets_count,2.0683099655388761,0.27873912497288866,0.0072973086985065458,-20513211463209.656,2
comments_count,2.6295230337200826,0.21547098766519121,0.0060969455532719945,-15857127823705.281,3
user_followers_count,0.0027358793437922534,0.11946709786308196,0.0031572606636933427,-8791926291652.709,4
user_shots_count,0.034741807707363175,0.052996412852846522,0.0016542944231239427,-3900157983733.9443,5
user_followings_count,0.0012460953875700772,0.0066838191194368152,0.00021576205757785002,-491881414179.625,6
rebounds_count,1.0810508912912913,0.0047219639505726579,0.0001223461585673363,-347502866880.20605,7
attachments_count,-2.9295888525769791,-0.032675927993685905,-0.00088190105952418401,2404715235998.0898,8
